gene_id	gene_symbol	length
ENSG00000196581	AJAP1	12405
ENSG00000231510	RP11-542C10.1	449
ENSG00000260972	RP1-58B11.1	1697
ENSG00000264341	MIR4417	73
ENSG00000236948	RP11-154H17.1	363
ENSG00000216045	AL356693.1	89
ENSG00000264101	MIR4689	70
ENSG00000131697	NPHP4	13167
ENSG00000266687	AL356261.1	86
ENSG00000069424	KCNAB2	9253
ENSG00000268332	AL035406.1	81
ENSG00000116254	CHD5	9890
ENSG00000116251	RPL22	4900
ENSG00000226944	RP1-120G22.11	378
ENSG00000158286	RNF207	6585
ENSG00000116237	ICMT	4910
ENSG00000225077	LINC00337	1685
ENSG00000173673	HES3	697
ENSG00000158292	GPR153	4082
ENSG00000097021	ACOT7	4892
ENSG00000271746	RP1-202O8.3	837
ENSG00000069812	HES2	5407
ENSG00000187017	ESPN	4109
ENSG00000265392	MIR4252	63
ENSG00000231868	RP1-202O8.2	351
ENSG00000215788	TNFRSF25	3918
ENSG00000171680	PLEKHG5	6954
ENSG00000162408	NOL9	7293
ENSG00000253022	RNU6-731P	111
ENSG00000229519	RP11-58A11.2	401
ENSG00000173662	TAS1R1	2892
ENSG00000204859	ZBTB48	4503
ENSG00000162413	KLHL21	6670
ENSG00000116273	PHF13	3681
ENSG00000041988	THAP3	4072
ENSG00000007923	DNAJC11	5147
ENSG00000228750	RP11-242F24.1	2065
ENSG00000239166	snoU13	103
ENSG00000237436	RP11-312B8.1	415
ENSG00000171735	CAMTA1	10033
ENSG00000227950	RP11-312B8.2	286
ENSG00000237365	RP11-334N17.1	349
ENSG00000207056	RNU1-8P	165
ENSG00000237402	CAMTA1-IT1	365
ENSG00000237728	RP3-453P22.2	743
ENSG00000225126	RP4-549F15.1	361
ENSG00000270171	RP11-338N10.1	1721
ENSG00000270035	RP11-338N10.2	570
ENSG00000269978	RP11-338N10.3	267
ENSG00000049245	VAMP3	2760
ENSG00000269925	RP3-467L1.6	393
ENSG00000049246	PER3	8059
ENSG00000236266	RP3-467L1.4	830
ENSG00000049247	UTS2	1783
ENSG00000049249	TNFRSF9	2284
ENSG00000270330	RP5-892F13.2	355
ENSG00000116288	PARK7	2397
ENSG00000200344	Y_RNA	103
ENSG00000116285	ERRFI1	4186
ENSG00000238290	RP11-431K24.1	2044
ENSG00000232848	CTA-215D11.4	800
ENSG00000229305	RP11-431K24.2	1075
ENSG00000200975	RNU1-7P	164
ENSG00000227634	RP11-431K24.3	497
ENSG00000233645	RP11-431K24.4	477
ENSG00000265414	RN7SL729P	255
ENSG00000251977	RNU6-991P	107
ENSG00000162426	SLC45A1	2888
ENSG00000252254	Y_RNA	113
ENSG00000142599	RERE	11503
ENSG00000232912	RP5-1115A15.1	702
ENSG00000221083	SNORA77	125
ENSG00000270282	RP5-1115A15.2	369
ENSG00000234619	RPL7P11	658
ENSG00000224315	RPL7P7	703
ENSG00000222511	Y_RNA	99
ENSG00000226545	RP4-633I8.3	415
ENSG00000228423	RP4-633I8.4	353
ENSG00000229716	RP11-185B14.1	369
ENSG00000074800	ENO1	3958
ENSG00000236269	ENO1-IT1	744
ENSG00000230679	ENO1-AS1	456
ENSG00000201725	RNU6-304P	107
ENSG00000238249	HMGN2P17	743
ENSG00000232208	RP3-477M7.5	352
ENSG00000232663	RP3-477M7.6	163
ENSG00000131686	CA6	2662
ENSG00000265141	RN7SL451P	297
ENSG00000197241	SLC2A7	1539
ENSG00000142583	SLC2A5	6854
ENSG00000252404	SCARNA16	184
ENSG00000180758	GPR157	5372
ENSG00000207865	MIR34A	110
ENSG00000228526	RP3-510D11.1	450
ENSG00000234546	RP3-510D11.2	985
ENSG00000049239	H6PD	9321
ENSG00000252841	Z98044.1	143
ENSG00000171621	SPSB1	3403
ENSG00000252956	RNA5SP40	110
ENSG00000235263	RP13-392I16.1	708
ENSG00000171612	SLC25A33	3854
ENSG00000231181	RP13-15M17.1	559
ENSG00000188807	TMEM201	7018
ENSG00000171608	PIK3CD	6593
ENSG00000179840	C1orf200	1823
ENSG00000233268	RP11-558F24.2	421
ENSG00000231789	RP11-558F24.4	939
ENSG00000171603	CLSTN1	5559
ENSG00000271264	RP11-558F24.6	246
ENSG00000178585	CTNNBIP1	3343
ENSG00000223989	RP11-84A14.5	424
ENSG00000162441	LZIC	2792
ENSG00000228150	RP11-84A14.4	440
ENSG00000173614	NMNAT1	4610
ENSG00000202415	RN7SKP269	319
ENSG00000265521	MIR5697	78
ENSG00000241326	RP11-807G9.2	436
ENSG00000162444	RBP7	861
ENSG00000225786	AL590639.1	237
ENSG00000130939	UBE4B	9140
ENSG00000224340	RP11-496H15.2	337
ENSG00000233623	PGAM1P11	680
ENSG00000201746	RNU6-828P	107
ENSG00000054523	KIF1B	17693
ENSG00000264881	MIR1273D	86
ENSG00000199562	RNU6-37P	107
ENSG00000264501	RN7SL731P	291
ENSG00000265945	RN7SL721P	295
ENSG00000142657	PGD	3171
ENSG00000271989	RP4-736L20.3	797
ENSG00000175279	APITD1	2857
ENSG00000251503	APITD1-CORT	1790
ENSG00000241563	CORT	1130
ENSG00000160049	DFFA	6622
ENSG00000203469	RP5-1113E3.3	467
ENSG00000142655	PEX14	2995
ENSG00000243267	RN7SL614P	278
ENSG00000130940	CASZ1	11336
ENSG00000272078	RP4-734G22.3	7923
ENSG00000225158	HSPE1P24	238
ENSG00000175262	C1orf127	3573
ENSG00000215785	CFL1P6	494
ENSG00000264181	AL713997.1	88
ENSG00000207213	Y_RNA	84
ENSG00000120948	TARDBP	4622
ENSG00000009724	MASP2	4251
ENSG00000271895	RP4-635E18.8	870
ENSG00000116649	SRM	1898
ENSG00000171824	EXOSC10	6003
ENSG00000226849	RP4-635E18.7	2682
ENSG00000230337	RP4-635E18.6	536
ENSG00000198793	MTOR	12119
ENSG00000225602	MTOR-AS1	763
ENSG00000253086	RNU6-537P	103
ENSG00000271794	snoU13	107
ENSG00000171819	ANGPTL7	2238
ENSG00000207451	RNU6-291P	107
ENSG00000238173	RPL39P6	150
ENSG00000120942	UBIAD1	5082
ENSG00000238199	UBE2V2P3	437
ENSG00000224338	RP11-149P14.1	565
ENSG00000204624	PTCHD2	6146
ENSG00000235643	RP1-69M21.2	1285
ENSG00000116661	FBXO2	2333
ENSG00000132879	FBXO44	3527
ENSG00000116663	FBXO6	1811
ENSG00000116670	MAD2L2	3324
ENSG00000162490	DRAXIN	7346
ENSG00000177674	AGTRAP	2433
ENSG00000215910	C1orf167	6505
ENSG00000177553	RP11-56N19.5	1868
ENSG00000177000	MTHFR	10214
ENSG00000011021	CLCN6	6884
ENSG00000242349	NPPA-AS1	1427
ENSG00000175206	NPPA	1120
ENSG00000120937	NPPB	694
ENSG00000224904	RP5-934G17.6	2637
ENSG00000199347	RNU5E-1	120
ENSG00000201801	RNU5E-4P	120
ENSG00000116685	KIAA2013	3281
ENSG00000083444	PLOD1	5320
ENSG00000116688	MFN2	4973
ENSG00000270914	RP5-1077B9.5	93
ENSG00000116691	MIIP	2821
ENSG00000202461	Y_RNA	113
ENSG00000243539	RN7SL649P	273
ENSG00000120949	TNFRSF8	3738
ENSG00000201135	RNU6-777P	104
ENSG00000227875	RP11-426M1.2	255
ENSG00000028137	TNFRSF1B	3766
ENSG00000263676	MIR4632	61
ENSG00000225196	RP5-1118D24.2	316
ENSG00000252969	SNORA70	124
ENSG00000048707	VPS13D	20346
ENSG00000239149	SNORA59A	152
ENSG00000229484	RP5-888M10.2	438
ENSG00000162496	DHRS3	3037
ENSG00000221340	RNU6ATAC18P	101
ENSG00000272482	RP11-474O21.5	345
ENSG00000204518	AADACL4	1575
ENSG00000226166	RP11-474O21.2	112
ENSG00000188984	AADACL3	4049
ENSG00000238771	snoU13	104
ENSG00000157330	C1orf158	4333
ENSG00000116726	PRAMEF12	1786
ENSG00000116721	PRAMEF1	2439
ENSG00000228338	RP5-845O24.8	378
ENSG00000204513	PRAMEF11	1839
ENSG00000231103	RP5-845O24.3	1417
ENSG00000179172	HNRNPCL1	1108
ENSG00000120952	PRAMEF2	1642
ENSG00000243073	PRAMEF4	1828
ENSG00000187545	PRAMEF10	1525
ENSG00000204510	PRAMEF7	1844
ENSG00000207434	RNU6-1072P	107
ENSG00000234064	RP11-450I1.2	1139
ENSG00000232423	PRAMEF6	3838
ENSG00000250894	RP11-450I1.4	1371
ENSG00000204508	PRAMEF22	1446
ENSG00000239810	WI2-3308P17.2	605
ENSG00000270601	PRAMEF23	1426
ENSG00000250113	RP13-221M14.6	1422
ENSG00000204505	PRAMEF25	1428
ENSG00000233336	RP13-221M14.2	384
ENSG00000229978	RP13-221M14.3	1452
ENSG00000236179	RP13-221M14.4	891
ENSG00000179412	HNRNPCP5	1156
ENSG00000224199	WI2-2994D6.1	1452
ENSG00000229571	PRAMEF26	1476
ENSG00000204503	PRAMEF3	2104
ENSG00000233394	RP11-248D7.2	1422
ENSG00000204502	PRAMEF5	1855
ENSG00000231219	RP11-219C24.8	1068
ENSG00000207511	RNU6-771P	107
ENSG00000182330	PRAMEF8	1844
ENSG00000237700	RP11-219C24.6	1425
ENSG00000204501	PRAMEF9	1863
ENSG00000228229	RP11-219C24.10	384
ENSG00000204495	PRAMEF13	2164
ENSG00000204491	PRAMEF18	1440
ENSG00000204488	PRAMEF16	1587
ENSG00000204486	PRAMEF21	1597
ENSG00000204485	XX-FW84067D5.1	1844
ENSG00000224581	XX-FW84067D5.2	1425
ENSG00000157358	PRAMEF15	1863
ENSG00000204481	PRAMEF14	2523
ENSG00000204480	PRAMEF19	2123
ENSG00000204479	PRAMEF17	1578
ENSG00000204478	PRAMEF20	1597
ENSG00000162494	LRRC38	2209
ENSG00000259961	RP4-597A16.2	477
ENSG00000215909	RP4-597A16.3	371
ENSG00000162493	PDPN	3707
ENSG00000222952	RNA5SP41	101
ENSG00000266358	AL359771.1	101
ENSG00000237445	CTA-520D8.2	379
ENSG00000253085	SCARNA11	130
ENSG00000116731	PRDM2	10923
ENSG00000252151	RNU6-1265P	103
ENSG00000231606	RP11-344F13.1	282
ENSG00000234593	RP4-704D23.1	579
ENSG00000189337	KAZN	12644
ENSG00000235829	TBCAP2	326
ENSG00000175147	TMEM51-AS1	2963
ENSG00000171729	TMEM51	2240
ENSG00000204464	C1orf195	559
ENSG00000215720	RP1-21O18.3	710
ENSG00000142621	FHAD1	12805
ENSG00000233485	RP3-467K16.2	3105
ENSG00000236045	RP3-467K16.7	727
ENSG00000228140	RP3-467K16.4	5178
ENSG00000142634	EFHD2	2531
ENSG00000162438	CTRC	3486
ENSG00000142615	CELA2A	1519
ENSG00000215704	CELA2B	1457
ENSG00000132906	CASP9	5269
ENSG00000116138	DNAJC16	8563
ENSG00000251866	SCARNA21	140
ENSG00000272510	RP4-680D5.8	346
ENSG00000116771	AGMAT	2500
ENSG00000237301	RP4-680D5.2	2845
ENSG00000235084	CHCHD2P6	462
ENSG00000252417	RNU7-179P	68
ENSG00000236500	RP4-680D5.4	225
ENSG00000197312	DDI2	12136
ENSG00000215695	RSC1A1	1854
ENSG00000271742	RP4-680D5.9	256
ENSG00000116786	PLEKHM2	4122
ENSG00000264048	AL121992.1	87
ENSG00000237938	RP11-288I21.1	645
ENSG00000162461	SLC25A34	3195
ENSG00000224459	RP11-169K16.4	639
ENSG00000162460	TMEM82	1520
ENSG00000162458	FBLIM1	4716
ENSG00000224321	RP11-169K16.6	490
ENSG00000233954	RP11-169K16.7	516
ENSG00000178715	RP11-169K16.8	444
ENSG00000179743	RP11-169K16.9	2882
ENSG00000065526	SPEN	13294
ENSG00000238818	snoU13	101
ENSG00000270620	RP1-134O19.3	211
ENSG00000116809	ZBTB17	4240
ENSG00000234607	RP11-5P18.1	563
ENSG00000231353	RP11-5P18.3	260
ENSG00000224966	TBC1D3P6	962
ENSG00000183888	C1orf64	3039
ENSG00000233078	RP11-5P18.5	466
ENSG00000173641	HSPB7	3910
ENSG00000186510	CLCNKA	3476
ENSG00000232456	RP11-5P18.10	704
ENSG00000184908	CLCNKB	2898
ENSG00000185519	FAM131C	1701
ENSG00000142627	EPHA2	4159
ENSG00000227959	RP11-276H7.2	904
ENSG00000224621	RP11-276H7.3	544
ENSG00000234166	ARHGEF19-AS1	439
ENSG00000142632	ARHGEF19	3745
ENSG00000237276	ANO7P1	1990
ENSG00000204377	C1orf134	252
ENSG00000132881	RSG1	1545
ENSG00000233929	MT1XP1	186
ENSG00000037637	FBXO42	8984
ENSG00000055070	SZRD1	4747
ENSG00000226457	RP11-430L17.1	381
ENSG00000187144	SPATA21	4506
ENSG00000157191	NECAP2	5559
ENSG00000226029	RP4-798A10.2	3245
ENSG00000080947	CROCCP3	6813
ENSG00000206652	RNU1-1	164
ENSG00000261135	RP4-798A10.7	1110
ENSG00000224174	RP4-798A10.4	327
ENSG00000233421	U1	1563
ENSG00000268674	FAM231B	510
ENSG00000225710	RP5-875O13.6	882
ENSG00000266584	AL355149.1	74
ENSG00000219481	NBPF1	12212
ENSG00000271732	RP5-1182A14.5	339
ENSG00000215908	CROCCP2	4534
ENSG00000186301	MST1P2	2686
ENSG00000207513	RNU1-3	164
ENSG00000237847	FAM231A	510
ENSG00000264742	AL021920.1	74
ENSG00000236698	EIF1AXP1	435
ENSG00000268869	ESPNP	3178
ENSG00000268991	FAM231C	510
ENSG00000058453	CROCC	8871
ENSG00000207389	RNU1-4	164
ENSG00000227684	CROCCP4	498
ENSG00000186715	MST1L	5295
ENSG00000223643	RP11-108M9.1	837
ENSG00000230239	RP11-108M9.2	882
ENSG00000263811	MIR3675	73
ENSG00000228549	U1	2963
ENSG00000238142	RP11-108M9.4	508
ENSG00000235241	RP11-108M9.5	508
ENSG00000207005	RNU1-2	164
ENSG00000272426	RP11-108M9.6	438
ENSG00000117122	MFAP2	2915
ENSG00000226526	RP1-37C10.3	636
ENSG00000159363	ATP13A2	5253
ENSG00000117118	SDHB	2462
ENSG00000117115	PADI2	6002
ENSG00000252180	Y_RNA	88
ENSG00000204362	RP11-380J14.1	4676
ENSG00000142623	PADI1	5061
ENSG00000142619	PADI3	3189
ENSG00000266634	MIR3972	87
ENSG00000159339	PADI4	2971
ENSG00000269468	AC004824.2	339
ENSG00000256049	PADI6	2397
ENSG00000227751	RP1-20B21.4	311
ENSG00000179051	RCC2	4126
ENSG00000266727	AC004824.1	64
ENSG00000239020	snoU13	101
ENSG00000074964	ARHGEF10L	7847
ENSG00000236648	RP11-473A10.2	610
ENSG00000117148	ACTL8	1861
ENSG00000261781	RP11-174G17.2	2471
ENSG00000117154	IGSF21	3085
ENSG00000230035	RP11-174G17	430
ENSG00000225387	RP11-422P22.1	491
ENSG00000179023	KLHDC7A	5055
ENSG00000235282	RP1-8B22.1	270
ENSG00000225478	RP1-8B22.2	223
ENSG00000009709	PAX7	6313
ENSG00000179002	TAS1R2	2542
ENSG00000255275	RP13-279N23.2	4369
ENSG00000159423	ALDH4A1	3687
ENSG00000265606	MIR4695	74
ENSG00000221662	MIR1290	78
ENSG00000169991	IFFO2	6188
ENSG00000272084	RP5-1126H10.2	3402
ENSG00000127481	UBR4	24695
ENSG00000266098	AL137127.1	100
ENSG00000230424	RP1-43E13.2	507
ENSG00000127463	EMC1	10650
ENSG00000053372	MRTO4	2822
ENSG00000211454	AKR7L	2768
ENSG00000162482	AKR7A3	1710
ENSG00000270728	RP4-657E11.10	525
ENSG00000053371	AKR7A2	1781
ENSG00000200403	RNU6-1099P	107
ENSG00000040487	PQLC2	2686
ENSG00000265192	RN7SL85P	256
ENSG00000077549	CAPZB	3476
ENSG00000240490	RN7SL277P	286
ENSG00000201609	RNU4-28P	141
ENSG00000239027	snoU13	105
ENSG00000235185	RP5-1056L3.1	207
ENSG00000270136	MINOS1-NBL1	2493
ENSG00000173436	MINOS1	5220
ENSG00000226396	RPS14P3	455
ENSG00000158747	NBL1	3461
ENSG00000158748	HTR6	1984
ENSG00000162542	TMCO4	4054
ENSG00000178828	RNF186	1249
ENSG00000235434	RP11-91K11.2	447
ENSG00000169914	OTUD3	6767
ENSG00000188784	PLA2G2E	785
ENSG00000242688	RN7SL304P	299
ENSG00000188257	PLA2G2A	1654
ENSG00000127472	PLA2G5	2607
ENSG00000117215	PLA2G2D	2672
ENSG00000158786	PLA2G2F	6440
ENSG00000227066	RP3-340N1.2	2639
ENSG00000187980	PLA2G2C	3298
ENSG00000225986	UBXN10-AS1	510
ENSG00000162543	UBXN10	5571
ENSG00000228105	RP3-340N1.6	480
ENSG00000158816	VWA5B1	6377
ENSG00000226664	RP4-745E8.2	229
ENSG00000236963	LINC01141	3172
ENSG00000226487	RP4-749H3.2	376
ENSG00000162545	CAMK2N1	2615
ENSG00000090432	MUL1	2436
ENSG00000215520	RPS4XP4	763
ENSG00000183114	FAM43B	2581
ENSG00000158825	CDA	963
ENSG00000158828	PINK1	4836
ENSG00000117242	PINK1-AS	4443
ENSG00000257033	AL391357.1	348
ENSG00000244038	DDOST	2674
ENSG00000117245	KIF17	4470
ENSG00000235432	RP5-930J4.5	479
ENSG00000189410	SH2D5	4423
ENSG00000233069	RP5-930J4.2	299
ENSG00000127483	HP1BP3	7442
ENSG00000203394	RP5-930J4.4	572
ENSG00000075151	EIF4G3	8353
ENSG00000251914	RNU7-200P	62
ENSG00000221808	MIR1256	119
ENSG00000233072	RPS15AP6	385
ENSG00000236073	RP11-487E1.2	115
ENSG00000235112	HSPE1P27	296
ENSG00000266867	AL031005.1	64
ENSG00000117298	ECE1	7265
ENSG00000236936	RP3-329E20.2	723
ENSG00000231105	RP5-1071N3.1	2479
ENSG00000236216	PPP1R11P1	376
ENSG00000228823	RP11-293F5.8	649
ENSG00000236009	RP11-293F5.1	761
ENSG00000227001	NBPF2P	710
ENSG00000187952	HS6ST1P1	1235
ENSG00000186543	CROCCP5	830
ENSG00000142794	NBPF3	6812
ENSG00000176378	PFN1P10	327
ENSG00000162551	ALPL	3014
ENSG00000233431	RP11-63N8.3	821
ENSG00000221781	AL359815.1	138
ENSG00000076864	RAP1GAP	5650
ENSG00000090686	USP48	9497
ENSG00000231978	RP11-132G19.3	307
ENSG00000187942	LDLRAD2	4490
ENSG00000142798	HSPG2	17694
ENSG00000232037	RP11-26H16.1	483
ENSG00000219073	CELA3B	1541
ENSG00000264385	RN7SL421P	286
ENSG00000263991	RN7SL386P	295
ENSG00000201919	RNU6-1022P	104
ENSG00000142789	CELA3A	1224
ENSG00000263582	RN7SL768P	284
ENSG00000263929	RN7SL186P	295
ENSG00000201273	RNU6-776P	104
ENSG00000228397	RP1-224A6.3	615
ENSG00000218510	LINC00339	1424
ENSG00000070831	CDC42	3470
ENSG00000230068	CDC42-IT1	692
ENSG00000271428	RP1-224A6.8	488
ENSG00000271840	RP1-224A6.9	748
ENSG00000162552	WNT4	4527
ENSG00000266564	MIR4418	62
ENSG00000234397	RP11-415K20.1	492
ENSG00000184677	ZBTB40	8992
ENSG00000237200	ZBTB40-IT1	273
ENSG00000070886	EPHA8	5358
ENSG00000173372	C1QA	1272
ENSG00000159189	C1QC	1335
ENSG00000173369	C1QB	1601
ENSG00000133216	EPHB2	6341
ENSG00000265422	MIR4684	82
ENSG00000216157	AL611946.1	95
ENSG00000225952	RP11-69E9.1	480
ENSG00000264014	MIR4253	68
ENSG00000272796	RP1-74M1.3	4819
ENSG00000215906	LACTBL1	1641
ENSG00000227868	C1orf234	609
ENSG00000004487	KDM1A	5447
